0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
l8ugp31t,Croft,Michael,29660,4,93,Lost 0-0,gpphi00,1518.89,1500.56,z24lo454,"Van Ostenbridge, Ron",1501.26,9.0,2000-02-19,False,Grand Prix Philadelphia 2000,http://web.archive.org/web/20130511060558/http://www.wizards.com/sideboard/article.asp?x=GPPHIL00/welcome,gp,extended
l8ugp31t,Croft,Michael,29948,5,144,Won 0-0,gpphi00,1500.56,1518.54,kzizfpd1,"Simard, Stephane",1499.38,9.0,2000-02-19,False,Grand Prix Philadelphia 2000,http://web.archive.org/web/20130511060558/http://www.wizards.com/sideboard/article.asp?x=GPPHIL00/welcome,gp,extended
l8ugp31t,Croft,Michael,30104,6,101,Lost 0-0,gpphi00,1518.54,1500.55,9yncuhxs,"Hill, Stanley",1518.67,9.0,2000-02-19,False,Grand Prix Philadelphia 2000,http://web.archive.org/web/20130511060558/http://www.wizards.com/sideboard/article.asp?x=GPPHIL00/welcome,gp,extended
l8ugp31t,Croft,Michael,30268,7,107,Won 0-0,gpphi00,1500.55,1518.22,58bdydb8,"Wargat, Keith",1482.86,9.0,2000-02-19,False,Grand Prix Philadelphia 2000,http://web.archive.org/web/20130511060558/http://www.wizards.com/sideboard/article.asp?x=GPPHIL00/welcome,gp,extended
l8ugp31t,Croft,Michael,30353,8,70,Lost 0-0,gpphi00,1518.22,1499.7,tj1pgcvj,"Snyder, Eric",1489.45,9.0,2000-02-19,False,Grand Prix Philadelphia 2000,http://web.archive.org/web/20130511060558/http://www.wizards.com/sideboard/article.asp?x=GPPHIL00/welcome,gp,extended
l8ugp31t,Croft,Michael,35632,1,14,Won 2-1,natca00,1499.7,1517.7,kmkgo29s,"Thiessen, Paul",1500.0,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,35666,2,15,Lost 1-2,natca00,1517.7,1500.64,8sp7w7hu,"Ferraro, Anthony",1569.05,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,35708,3,24,Won 2-1,natca00,1500.64,1518.3,pjihxlyn,"Hsu, Pei-Ken",1482.09,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,35726,4,9,Lost 1-2,natca00,1518.3,1500.88,d7ay6xr4,"Evans, Murray",1549.82,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,35762,5,11,Won 2-1,natca00,1500.88,1518.55,8dj5jr3q,"Ryan, Ronan",1483.06,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
