Id,name,money,nationality,teams
roth,Roth,0,empty,empty
yao--b-,Yao (B),0,empty,empty
espinosa,Espinosa,0,empty,empty
fusco,Fusco,0,empty,empty
fiedler,Fiedler,0,empty,empty
czosnowski,Czosnowski,0,empty,empty
scarsella,Scarsella,0,empty,empty
pflieger,Pflieger,0,empty,empty
mccullough,McCullough,0,empty,empty
madsen,Madsen,0,empty,empty
holt,Holt,0,empty,empty
bagha,Bagha,0,empty,empty
sher,Sher,0,empty,empty
krussow,Krussow,0,empty,empty
russell,Russell,0,empty,empty
sloo,Sloo,0,empty,empty
strasler,Strasler,0,empty,empty
kinkade,Kinkade,0,empty,empty
ripper,Ripper,0,empty,empty
thorson,Thorson,0,empty,empty
galli,Galli,0,empty,empty
bresett,Bresett,0,empty,empty
scheffer,Scheffer,0,empty,empty
nixon,Nixon,0,empty,empty
normandin--a-,Normandin (A),0,empty,empty
normandin--b-,Normandin (B),0,empty,empty
minier,Minier,0,empty,empty
daly,Daly,0,empty,empty
maddasion,Maddasion,0,empty,empty
medvec,Medvec,0,empty,empty
powers,Powers,0,empty,empty
kwok,Kwok,0,empty,empty
howland,Howland,0,empty,empty
graebner,Graebner,0,empty,empty
krueger,Krueger,0,empty,empty
kuperman,Kuperman,0,empty,empty
maloney,Maloney,0,empty,empty
conklin,Conklin,0,empty,empty
peterson,Peterson,0,empty,empty
vincent,Vincent,0,empty,empty
stewart,Stewart,0,empty,empty
shuler,Shuler,0,empty,empty
thomas,Thomas,0,empty,empty
kaplan,Kaplan,0,empty,empty
song,Song,0,empty,empty
mark-gordon,Mark Gordon,0,United States of America,empty
scott-seville,Scott Seville,0,United States of America,empty
timothy-mckenna,Timothy McKenna,0,United States of America,empty
wade-maraj,Wade Maraj,0,United States of America,empty
robert-koschak,Robert Koschak,0,United States of America,empty
nathan-heiss,Nathan Heiss,0,United States of America,empty
justin-smith,Justin Smith,0,United States of America,empty
jonathan-cassidy,Jonathan Cassidy,0,United States of America,empty
justin-bing,Justin Bing,0,United States of America,empty
kevin-quirk,Kevin Quirk,0,United States of America,empty
justin-brown,Justin Brown,0,United States of America,empty
stephen-ho,Stephen Ho,0,Hong Kong,empty
justin-swierczek,Justin Swierczek,0,United States of America,empty
dal-austin,Dal Austin,0,United States of America,empty
brady-williams,Brady Williams,0,United States of America,empty
john-eardley,John Eardley,0,United States of America,empty
brent-kaskel,Brent Kaskel,0,United States of America,empty
jill-costigan,Jill Costigan,0,United States of America,empty
kevin-cardinal,Kevin Cardinal,0,Canada,empty
steve-downing,Steve Downing,0,United States of America,empty
charlie-rue,Charlie Rue,0,United States of America,empty
dewitt-kane,DeWitt Kane,0,United States of America,empty
kelvin-young,Kelvin Young,0,United States of America,empty
john-sieber,John Sieber,0,empty,empty
alex-melnikow,Alex Melnikow,0,United States of America,empty
nicholas-vacek,Nicholas Vacek,0,United States of America,empty
ben-miller,Ben Miller,0,empty,empty
michael-hilton,Michael Hilton,0,empty,empty
christopher-schwarzott,Christopher Schwarzott,0,empty,empty
alex-oliveros,Alex Oliveros,0,empty,empty
sean-connor,Sean Connor,0,United States of America,empty
kentaro-tamura,Kentaro Tamura,0,empty,empty
josh-silbernick,Josh Silbernick,0,empty,empty
tim-bulger,Tim Bulger,0,United States of America,empty
charles-gabbert,Charles Gabbert,0,United States of America,empty
robert-wilczek,Robert Wilczek,0,United States of America,empty
jason-peyton,Jason Peyton,0,empty,empty
brian-mccall,Brian McCall,0,empty,empty
thomas-maggio,Thomas Maggio,0,United States of America,empty
ian-last,Ian Last,0,Canada,empty
nicholas-spagnolo,Nicholas Spagnolo,0,United States of America,empty
alfred-ciffo,Alfred Ciffo,0,United States of America,empty
joshua-mcknight,Joshua McKnight,0,United States of America,empty
matt-gargiulo,Matt Gargiulo,0,United States of America,empty
tony-chu,Tony Chu,0,United States of America,empty
kelsey-dixon,Kelsey Dixon,0,United States of America,empty
aaron-muranaka,Aaron Muranaka,0,United States of America,empty
austin-liming,Austin Liming,0,United States of America,empty
nicholas-stockdale,Nicholas Stockdale,0,United States of America,empty
joe-easton,Joe Easton,0,United States of America,empty
tristan-sommer,Tristan Sommer,0,United States of America,empty
mikel-misner,Mikel Misner,0,United States of America,empty
john-milner,John Milner,0,United States of America,empty
bill-senneway,Bill Senneway,0,United States of America,empty
joe-hemmann,Joe Hemmann,0,United States of America,empty
scott-hoppe,Scott Hoppe,0,United States of America,empty
casey-swanson,Casey Swanson,0,United States of America,empty
noah-whinston,Noah Whinston,0,empty,empty
jeff-rasmussen,Jeff Rasmussen,0,empty,empty
casey-hudak,Casey Hudak,0,United States of America,empty
dustin-penn,Dustin Penn,0,empty,empty
michael-stone,Michael Stone,0,empty,empty
jason-southworth,Jason Southworth,0,United States of America,empty
aaron-davis,Aaron Davis,0,empty,empty
joshua-landree,Joshua Landree,0,empty,empty
jason-golliher,Jason Golliher,0,United States of America,empty
andrew-kirner,Andrew Kirner,0,empty,empty
tobias-pace,Tobias Pace,0,empty,empty
ben-drexler,Ben Drexler,0,empty,empty
michael-byars,Michael Byars,0,United States of America,empty
turner-madick,Turner Madick,0,United States of America,empty
brian-boss,Brian Boss,0,United States of America,empty
joshua-schroeder,Joshua Schroeder,0,United States of America,empty
forrest-wang,Forrest Wang,0,United States of America,empty
steve-locke,Steve Locke,0,United States of America,empty
corey-kocuiba,Corey Kocuiba,0,Canada,empty
sean-cabral,Sean Cabral,0,empty,empty
cj-voege,CJ Voege,0,United States of America,empty
craig-rocco,Craig Rocco,0,United States of America,empty
kieth-hart,Kieth Hart,0,United States of America,empty
brantley-westlund,Brantley Westlund,0,empty,empty
edgar-tan,Edgar Tan,0,empty,empty
ian-jensen,Ian Jensen,0,United States of America,empty
danny-bambino,Danny Bambino,0,empty,empty
fernando-david-gonzalez,Fernando David Gonzalez,0,Argentina,empty
matthew-milliard,Matthew Milliard,0,empty,empty
drew-stewart,Drew Stewart,0,empty,empty
nick-mincucci,Nick Mincucci,0,United States of America,empty
dillon-ioanis,Dillon Ioanis,0,United States of America,empty
ryan-scott,Ryan Scott,0,empty,empty
travis-young,Travis Young,0,empty,empty
kai-peetz,Kai Peetz,0,United States of America,empty
wyatt-davis,Wyatt Davis,0,empty,empty
corey-guild,Corey Guild,0,empty,empty
justin-andrus,Justin Andrus,0,United States of America,empty
frank-demerie,Frank Demerie,0,empty,empty
andrew-mccandless,Andrew McCandless,0,empty,empty
brad-bonin,Brad Bonin,0,United States of America,empty
mikaela-downs,Mikaela Downs,0,United States of America,empty
zach-keathley,Zach Keathley,0,United States of America,empty
joseph-bowling,Joseph Bowling,0,empty,empty
brandon-krussow,Brandon Krussow,0,United States of America,empty
peter-an,Peter An,0,empty,empty
brendan-gauthier,Brendan Gauthier,0,empty,empty
kevin-freeman,Kevin Freeman,0,United States of America,empty
hon-ming-au-yeung,Hon Ming Au Yeung,0,Hong Kong,empty
cheng-yu-gong,Cheng Yu Gong,0,"Taiwan, Province of China",empty
chi-hou-jiang,Chi Hou Jiang,0,"Taiwan, Province of China",empty
chi-hsen-guo,Chi Hsen Guo,0,"Taiwan, Province of China",empty
yu-shie-lin,Yu Shie Lin,0,"Taiwan, Province of China",empty
kee-yin-lawrence-cheung,Kee Yin Lawrence Cheung,0,Hong Kong,empty
ming-chee-wang,Ming Chee Wang,0,"Taiwan, Province of China",empty
tsz-hong-chiu,Tsz Hong Chiu,0,Hong Kong,empty
jim-tim-lee,Jim Tim Lee,0,"Taiwan, Province of China",empty
kwok-wing-ng,Kwok Wing Ng,0,Hong Kong,empty
richard-wei-jei-chiu,Richard Wei Jei Chiu,0,"Taiwan, Province of China",empty
yi-jie-lin,Yi Jie Lin,0,"Taiwan, Province of China",empty
shin-chun-hwang,Shin Chun Hwang,0,"Taiwan, Province of China",empty
zo-jun-jung,Zo Jun Jung,0,"Taiwan, Province of China",empty
yohannes-siagian,Yohannes Siagian,0,Indonesia,empty
yang-how-lin,Yang How Lin,0,"Taiwan, Province of China",empty
wu-chian-lin,Wu Chian Lin,0,"Taiwan, Province of China",empty
toshifumi-hanaoka,Toshifumi Hanaoka,0,Japan,empty
manabu-taniguchi,Manabu Taniguchi,0,Japan,empty
takahiro-nakamura,Takahiro Nakamura,0,Japan,empty
shin-ya-wachi,Shin'ya Wachi,0,Japan,empty
kazumasa-shiki,Kazumasa Shiki,0,Japan,empty
hiroomi-takamatsu,Hiroomi Takamatsu,0,Japan,empty
suhan-yun,Suhan Yun,0,Japan,empty
yukihiro-nakagawa,Yukihiro Nakagawa,0,Japan,empty
chih-chun-tsai,Chih-Chun Tsai,0,Japan,empty
tsuyoshi-hasegawa,Tsuyoshi Hasegawa,0,Japan,empty
takeshi-takakura,Takeshi Takakura,0,Japan,empty
yoshiaki-kawanaka,Yoshiaki Kawanaka,0,empty,empty
kouji-takanashi,Kouji Takanashi,0,Japan,empty
junpei-oonishi,Junpei Oonishi,0,Japan,empty
tsai-wei-huang,Tsai-Wei Huang,0,empty,empty
kensuke-kitazono,Kensuke Kitazono,0,empty,empty
tomoya-yamano,Tomoya Yamano,0,empty,empty
keiichi-chijimi,Keiichi Chijimi,0,Japan,empty
hidetoshi-yamashita,Hidetoshi Yamashita,0,empty,empty
masanao-okabayashi,Masanao Okabayashi,0,empty,empty
kengo-umeno,Kengo Umeno,0,Japan,empty
shin-ichi-mayuzumi,Shin'ichi Mayuzumi,0,Japan,empty
kouichi-uematsu,Kouichi Uematsu,0,empty,empty
momotarou-uchida,Momotarou Uchida,0,Japan,empty
yuji-baba,Yuji Baba,0,empty,empty
hironobu-inoguchi,Hironobu Inoguchi,0,Japan,empty
hiroshi-kawakami,Hiroshi Kawakami,0,Japan,empty
chihiro-kawada,Chihiro Kawada,0,Japan,empty
hayato-tashiro,Hayato Tashiro,0,empty,empty
masashi-minami,Masashi Minami,0,empty,empty
tetsuya-mino,Tetsuya Mino,0,Japan,empty
sakito-sakamoto,Sakito Sakamoto,0,Japan,empty
nobuyuki-inanaga,Nobuyuki Inanaga,0,empty,empty
yuuya-kakuno,Yuuya Kakuno,0,empty,empty
ryoutarou-kubo,Ryoutarou Kubo,0,Japan,empty
kazuyoshi-anan,Kazuyoshi Anan,0,Japan,empty
yuusuke-hidaka,Yuusuke Hidaka,0,empty,empty
fumihiko-nakamura,Fumihiko Nakamura,0,empty,empty
ryuju-maeno,Ryuju Maeno,0,empty,empty
hideaki-imai,Hideaki Imai,0,Japan,empty
tomomi-shiraishi,Tomomi Shiraishi,0,Japan,empty
shunsuke-aka,Shunsuke Aka,0,Japan,empty
shunsuke-kamai,Shunsuke Kamai,0,Japan,empty
satoshi-matsuyama,Satoshi Matsuyama,0,Japan,empty
jun-moriya,Jun Moriya,0,Japan,empty
hiroaki-shiraishi,Hiroaki Shiraishi,0,empty,empty
satoshi-imura,Satoshi Imura,0,Japan,empty
kazuta-nitta,Kazuta Nitta,0,empty,empty
rahman-aryabhima,Rahman Aryabhima,0,Japan,empty
takaaki-suzuki,Takaaki Suzuki,0,Japan,empty
tatsuya-kotouge,Tatsuya Kotouge,0,Japan,empty
yuutarou-hirashima,Yuutarou Hirashima,0,Japan,empty
kouichi-yashiki,Kouichi Yashiki,0,empty,empty
mitsuteru-yoshinaga,Mitsuteru Yoshinaga,0,Japan,empty
kentarou-yanaseko,Kentarou Yanaseko,0,Japan,empty
yoshio-aono,Yoshio Aono,0,empty,empty
takuma-shibuya,Takuma Shibuya,0,empty,empty
yuki-sakamoto,Yuki Sakamoto,0,empty,empty
ryuuma-narumiya,Ryuuma Narumiya,0,empty,empty
shin-ichiro-shiroza,Shin'ichiro Shiroza,0,empty,empty
atsushi-nakamura,Atsushi Nakamura,0,Japan,empty
junpei-kawate,Junpei Kawate,0,empty,empty
ryosuke-nomura,Ryosuke Nomura,0,Japan,empty
takashi-naitou,Takashi Naitou,0,Japan,empty
hiroaki-taniguchi,Hiroaki Taniguchi,0,Japan,empty
kazuto-tsukahara,Kazuto Tsukahara,0,Japan,empty
takafumi-ooshima,Takafumi Ooshima,0,empty,empty
kentaro-kodama,Kentaro Kodama,0,Japan,empty
ryoichi-mita,Ryoichi Mita,0,Japan,empty
tomoya-ohmura,Tomoya Ohmura,0,empty,empty
akinori-hishida,Akinori Hishida,0,Japan,empty
ryuzi-murae,Ryuzi Murae,0,Japan,empty
hiroya-shimada,Hiroya Shimada,0,Japan,empty
naoto-shiba,Naoto Shiba,0,empty,empty
yoshikazu-okada,Yoshikazu Okada,0,Japan,empty
kojiro-omonishi,Kojiro Omonishi,0,Japan,empty
taiji-urasawa,Taiji Urasawa,0,Japan,empty
makoto-tsunemoto,Makoto Tsunemoto,0,empty,empty
tatsuki-iwamoto,Tatsuki Iwamoto,0,empty,empty
je-yeon-yoon,Je-Yeon Yoon,0,Korea (Republic of),empty
hideaki-tsuchiya,Hideaki Tsuchiya,0,Japan,empty
dai-takahashi,Dai Takahashi,0,empty,empty
yasunori-baba,Yasunori Baba,0,Japan,empty
daisuke-moriya,Daisuke Moriya,0,Japan,empty
futoshi-sano,Futoshi Sano,0,empty,empty
shin-ichi-akimoto,Shin'ichi Akimoto,0,Japan,empty
dongkyu-lee,Dongkyu Lee,0,Korea (Republic of),empty
kimitaka-tanaka,Kimitaka Tanaka,0,Japan,empty
munemitsu-fujiki,Munemitsu Fujiki,0,empty,empty
kentarou-maruyama,Kentarou Maruyama,0,empty,empty
tatsuo-sakano,Tatsuo Sakano,0,empty,empty
kou-changsu,Kou Changsu,0,Japan,empty
bong-jin-park,Bong-Jin Park,0,empty,empty
yuusuke-h-sasaki,Yuusuke H Sasaki,0,empty,empty
kai-an-tsai,Kai-An Tsai,0,empty,empty
ryoko-kitajima,Ryoko Kitajima,0,empty,empty
hiroshi-kawasaki,Hiroshi Kawasaki,0,Japan,empty
takumi-hasegawa,Takumi Hasegawa,0,Japan,empty
kenshiro-ito,Kenshiro Ito,0,Japan,empty
takashi-kurisu,Takashi Kurisu,0,Japan,empty
hiroyuki-nakanishi,Hiroyuki Nakanishi,0,empty,empty
satoru-yamazaki,Satoru Yamazaki,0,empty,empty
kazuki-kusanagi,Kazuki Kusanagi,0,empty,empty
yasuhiro-doiuchi,Yasuhiro Doiuchi,0,empty,empty
tomoya-fujimoto,Tomoya Fujimoto,0,Japan,empty
junya-izumi,Junya Izumi,0,empty,empty
eiji-nomura,Eiji Nomura,0,empty,empty
ren-ishikawa,Ren Ishikawa,0,Japan,empty
kazumi-nakauchi,Kazumi Nakauchi,0,empty,empty
kazuhiro-ikeuchi,Kazuhiro Ikeuchi,0,empty,empty
naoki-tsuji,Naoki Tsuji,0,empty,empty
shinji-watanabe--okayama-,Shinji Watanabe (Okayama),0,Japan,empty
koichiro-matsuo,Koichiro Matsuo,0,empty,empty
hirosi-yosida,Hirosi Yosida,0,Japan,empty
katsuya-ueda,Katsuya Ueda,0,Japan,empty
makoto-nagashima,Makoto Nagashima,0,Japan,empty
yasushi-yamada,Yasushi Yamada,0,Japan,empty
masaki-ishii,Masaki Ishii,0,Japan,empty
tsubasa-tomii,Tsubasa Tomii,0,Japan,empty
atsushi-ito,Atsushi Ito,0,Japan,empty
hisashi-udagawa,Hisashi Udagawa,0,Japan,empty
yuuya-ichihara,Yuuya Ichihara,0,Japan,empty
kousuke-gotou,Kousuke Gotou,0,Japan,empty
hayato-ishii,Hayato Ishii,0,Japan,empty
shigeru-motomura,Shigeru Motomura,0,Japan,empty
teruyoshi-michiwaki,Teruyoshi Michiwaki,0,Japan,empty
ayanobu-kanazawa,Ayanobu Kanazawa,0,Japan,empty
tooru-ikeshita,Tooru Ikeshita,0,Japan,empty
tomohide-matsuoka,Tomohide Matsuoka,0,Japan,empty
hiroki-hayashi,Hiroki Hayashi,0,Japan,empty
shougo-itou,Shougo Itou,0,Japan,empty
koutarou-yamaguchi,Koutarou Yamaguchi,0,Japan,empty
naofumi-jitsukawa,Naofumi Jitsukawa,0,Japan,empty
kenta-shouji,Kenta Shouji,0,Japan,empty
kousuke-itou,Kousuke Itou,0,Japan,empty
hiroyasu-kanazawa,Hiroyasu Kanazawa,0,Japan,empty
junnosuke-tamaki,Junnosuke Tamaki,0,Japan,empty
ryosuke-ishigaki,Ryosuke Ishigaki,0,Japan,empty
keiichi-kondou,Keiichi Kondou,0,Japan,empty
kenji-hamamoto,Kenji Hamamoto,0,Japan,empty
hirotaka-iwatsu,Hirotaka Iwatsu,0,Japan,empty
kazuya-furukawa,Kazuya Furukawa,0,Japan,empty
tatsuya-chi,Tatsuya Chi,0,empty,empty
yuuji-kikuchi,Yuuji Kikuchi,0,Japan,empty
taiga-yasuda,Taiga Yasuda,0,empty,empty
tadaki-tsukagoshi,Tadaki Tsukagoshi,0,Japan,empty
yusei-goto,Yusei Goto,0,Japan,empty
daisuke-kumoura,Daisuke Kumoura,0,Japan,empty
shun-kurakami,Shun Kurakami,0,Japan,empty
hiroaki-miyata,Hiroaki Miyata,0,empty,empty
yuuji-mukuno,Yuuji Mukuno,0,empty,empty
shouta-yokoyama,Shouta Yokoyama,0,Japan,empty
yoshihiro-naka,Yoshihiro Naka,0,empty,empty
shirou-wakayama,Shirou Wakayama,0,Japan,empty
yuuta-sasaki,Yuuta Sasaki,0,Japan,empty
akinao-takao,Akinao Takao,0,Japan,empty
shin-ya-sato,Shin'ya Sato,0,Japan,empty
shouhei-yamamoto,Shouhei Yamamoto,0,Japan,empty
kentaro-ino,Kentaro Ino,0,Japan,empty
kimiaki-izumi,Kimiaki Izumi,0,Japan,empty
kazuaki-k-,Kazuaki K.,0,empty,empty
seita-m-,Seita M.,0,empty,empty
yoshifuyu-furuta,Yoshifuyu Furuta,0,empty,empty
ken-s-,Ken S.,0,empty,empty
kouei-itou,Kouei Itou,0,Japan,empty
yuuta-okauchi,Yuuta Okauchi,0,Japan,empty
yuusuke-sasaki--hyogo-,Yuusuke Sasaki (Hyogo),0,Japan,empty
taichi-fujimoto,Taichi Fujimoto,0,Japan,empty
yuuya-hashizume,Yuuya Hashizume,0,Japan,empty
tetsurou-itodani,Tetsurou Itodani,0,Japan,empty
kazuki-ikeda,Kazuki Ikeda,0,empty,empty
chihiro-tashima,Chihiro Tashima,0,Japan,empty
kentarou-obara,Kentarou Obara,0,empty,empty
shouya-hayashi,Shouya Hayashi,0,Japan,empty
takashi-koyanagi,Takashi Koyanagi,0,Japan,empty
keisuke-hashimoto,Keisuke Hashimoto,0,empty,empty
akihiko-sakimura,Akihiko Sakimura,0,Japan,empty
hiroshi-ishida,Hiroshi Ishida,0,Japan,empty
yoshiyuki-kaneko,Yoshiyuki Kaneko,0,empty,empty
masatsuna-suzuki,Masatsuna Suzuki,0,empty,empty
hiroki-nishihara,Hiroki Nishihara,0,empty,empty
hiromasa-k-,Hiromasa K.,0,empty,empty
tomoaki-oomori,Tomoaki Oomori,0,Japan,empty
yukihiro-satake,Yukihiro Satake,0,Japan,empty
yuuki-tsuba,Yuuki Tsuba,0,empty,empty
mineyuki-tuda,Mineyuki Tuda,0,empty,empty
seitaro-torigoe,Seitaro Torigoe,0,empty,empty
hiroya-wada,Hiroya Wada,0,Japan,empty
takuya-okada,Takuya Okada,0,Japan,empty
yuuki-oota,Yuuki Oota,0,empty,empty
shunsuke-shibafuji,Shunsuke Shibafuji,0,empty,empty
masatoshi-hashimoto,Masatoshi Hashimoto,0,empty,empty
daisuke-yamazaki,Daisuke Yamazaki,0,empty,empty
kenjirou-matsuzaki,Kenjirou Matsuzaki,0,empty,empty
yuusuke-tabata,Yuusuke Tabata,0,empty,empty
keita-t-,Keita T.,0,empty,empty
shin-suzuki,Shin Suzuki,0,Japan,empty
shohei-mita,Shohei Mita,0,Japan,empty
yuki-akaboshi,Yuki Akaboshi,0,Japan,empty
yuuki-takano,Yuuki Takano,0,Japan,empty
ryouta-kawahara,Ryouta Kawahara,0,Japan,empty
motoshi-kouyama,Motoshi Kouyama,0,Japan,empty
ougi-hirato,Ougi Hirato,0,Japan,empty
tatsuya-oonishi,Tatsuya Oonishi,0,Japan,empty
tatsushi-tsukamoto,Tatsushi Tsukamoto,0,Japan,empty
kouhei-takano,Kouhei Takano,0,Japan,empty
toru-takeshita,Toru Takeshita,0,Japan,empty
kenji-endo,Kenji Endo,0,Japan,empty
ryota-ikeda,Ryota Ikeda,0,Japan,empty
masanori-satou,Masanori Satou,0,Japan,empty
hung-hsun-hao,Hung Hsun Hao,0,"Taiwan, Province of China",empty
atsushi-mizoue,Atsushi Mizoue,0,Japan,empty
yosuke-fujimoto,Yosuke Fujimoto,0,Japan,empty
yuuki-naganawa,Yuuki Naganawa,0,Japan,empty
masaharu-muto,Masaharu Muto,0,Japan,empty
hironobu-ookubo,Hironobu Ookubo,0,Japan,empty
takahiro-matsushita,Takahiro Matsushita,0,Japan,empty
katsuhiko-aoyama,Katsuhiko Aoyama,0,Japan,empty
tomoya-ueno,Tomoya Ueno,0,Japan,empty
takeshi-odan,Takeshi Odan,0,Japan,empty
naoto-akita,Naoto Akita,0,Japan,empty
kunihide-sano,Kunihide Sano,0,Japan,empty
yoshiaki-hino,Yoshiaki Hino,0,Japan,empty
tomoki-yoshihara,Tomoki Yoshihara,0,Japan,empty
yuki-takehana,Yuki Takehana,0,Japan,empty
kazuha-maeno,Kazuha Maeno,0,Japan,empty
masato-nakamura,Masato Nakamura,0,Japan,empty
keisuke-ebitani,Keisuke Ebitani,0,Japan,empty
koudai-kudou,Koudai Kudou,0,Japan,empty
hyuncheol-jeon,Hyuncheol Jeon,0,Japan,empty
kenneth-wong,Kenneth Wong,0,Malaysia,empty
jotaro-kobayashi,Jotaro Kobayashi,0,Japan,empty
chan-wook-kim,Chan-Wook Kim,0,Korea (Republic of),empty
keiji-mantani,Keiji Mantani,0,Japan,empty
jong-ho-shin,Jong Ho Shin,0,Korea (Republic of),empty
satoshi-kinugasa,Satoshi Kinugasa,0,Japan,empty
yuhi-kubota,Yuhi Kubota,0,Japan,empty
ching-kong-yu,Ching Kong Yu,0,Hong Kong,empty
keiji-aizawa,Keiji Aizawa,0,Japan,empty
kouhei-yamamoto,Kouhei Yamamoto,0,Japan,empty
shoutarou-miyahara,Shoutarou Miyahara,0,Japan,empty
akihiro-ookawa,Akihiro Ookawa,0,Japan,empty
hikaru-murakami,Hikaru Murakami,0,Japan,empty
yusuke-hara,Yusuke Hara,0,Japan,empty
kaiyin-wang,Kaiyin Wang,0,China,empty
hui-jae-lee,Hui-Jae Lee,0,Korea (Republic of),empty
akira-hasegawa,Akira Hasegawa,0,Japan,empty
yu-hasegawa,Yu Hasegawa,0,Japan,empty
masahiro-suzuki,Masahiro Suzuki,0,Japan,empty
yuuya-miyata,Yuuya Miyata,0,Japan,empty
nobuyuki-iwamoto,Nobuyuki Iwamoto,0,Japan,empty
tomohiro-tsuda,Tomohiro Tsuda,0,Japan,empty
shunsuke-yao,Shunsuke Yao,0,Japan,empty
takehiko-matsumura,Takehiko Matsumura,0,Japan,empty
yuuki-hirose,Yuuki Hirose,0,Japan,empty
shinichi-tanaka,Shinichi Tanaka,0,Japan,empty
shoji-asano,Shoji Asano,0,Japan,empty
hikaru-sato,Hikaru Sato,0,Japan,empty
noriya-kaga,Noriya Kaga,0,Japan,empty
hidekazu-kai,Hidekazu Kai,0,Japan,empty
yusuke-numata,Yusuke Numata,0,Japan,empty
hikaru-izumi,Hikaru Izumi,0,Japan,empty
yuutarou-takaishi,Yuutarou Takaishi,0,Japan,empty
yuta-mori,Yuta Mori,0,Japan,empty
kentarou-kitou,Kentarou Kitou,0,Japan,empty
tomohito-otsuka,Tomohito Otsuka,0,Japan,empty
keisuke-kibe,Keisuke Kibe,0,Japan,empty
naoya-okada,Naoya Okada,0,Japan,empty
takefumi-watanabe,Takefumi Watanabe,0,Japan,empty
kentarou-kitazawa,Kentarou Kitazawa,0,Japan,empty
takaya-saito,Takaya Saito,0,Japan,empty
marcus-abbott,Marcus Abbott,0,Australia,empty
yuuki-masaki,Yuuki Masaki,0,Japan,empty
tatsuya-ichikawa,Tatsuya Ichikawa,0,Japan,empty
ken-ishimaru,Ken Ishimaru,0,Japan,empty
tetsuya-takenouchi,Tetsuya Takenouchi,0,Japan,empty
ryuuya-mashimo,Ryuuya Mashimo,0,Japan,empty
nobuyuki-yamaoka,Nobuyuki Yamaoka,0,Japan,empty
kouichi-tajima,Kouichi Tajima,0,Japan,empty
motohiro-okada,Motohiro Okada,0,Japan,empty
naoki-komaki,Naoki Komaki,0,Japan,empty
kenta-imai,Kenta Imai,0,Japan,empty
yuuki-mitachi,Yuuki Mitachi,0,Japan,empty
takumi-takenaka,Takumi Takenaka,0,Japan,empty
tatsurou-kawano,Tatsurou Kawano,0,Japan,empty
kouta-koseki,Kouta Koseki,0,Japan,empty
syou-ogata,Syou Ogata,0,Japan,empty
isao-oono,Isao Oono,0,Japan,empty
yuusuke-kurokawa,Yuusuke Kurokawa,0,Japan,empty
keita-nagano,Keita Nagano,0,Japan,empty
masafumi-ogawa,Masafumi Ogawa,0,Japan,empty
teruhisa-takeda,Teruhisa Takeda,0,Japan,empty
yuuki-miura,Yuuki Miura,0,Japan,empty
yasutoshi-muneta,Yasutoshi Muneta,0,Japan,empty
fumiya-banno,Fumiya Banno,0,Japan,empty
yo-morita,Yo Morita,0,Japan,empty
natsumi-endo,Natsumi Endo,0,Japan,empty
hiroki-kawai,Hiroki Kawai,0,Japan,empty
takayuki-yoshii,Takayuki Yoshii,0,Japan,empty
takuya-nishimoto,Takuya Nishimoto,0,Japan,empty
akimasa-oouchi,Akimasa Oouchi,0,Japan,empty
naota-kagotani,Naota Kagotani,0,Japan,empty
takahisa-satou,Takahisa Satou,0,Japan,empty
chris-robertson,Chris Robertson,0,United States of America,empty
ryou-kasuga,Ryou Kasuga,0,Japan,empty
naoto-tawada,Naoto Tawada,0,Japan,empty
yuichiro-maruyama,Yuichiro Maruyama,0,Japan,empty
daisuke-hayashi,Daisuke Hayashi,0,Japan,empty
ukyo-kobayashi,Ukyo Kobayashi,0,Japan,empty
hareta-kaizu,Hareta Kaizu,0,Japan,empty
yukihiro-nishikawa,Yukihiro Nishikawa,0,Japan,empty
kazuto-magata,Kazuto Magata,0,Japan,empty
takeshi-noguchi,Takeshi Noguchi,0,Japan,empty
ryousuke-masuno,Ryousuke Masuno,0,Japan,empty
kohei-onishi,Kohei Onishi,0,Japan,empty
jin-nakagawa,Jin Nakagawa,0,Japan,empty
syouta-hirai,Syouta Hirai,0,Japan,empty
yuki-tanaka,Yuki Tanaka,0,Japan,empty
ichirou-okamoto,Ichirou Okamoto,0,Japan,empty
tomoyasu-nishio,Tomoyasu Nishio,0,Japan,empty
atsuo-honda,Atsuo Honda,0,Japan,empty
yoshinosuke-mutou,Yoshinosuke Mutou,0,Japan,empty
yuuichirou-matsuda,Yuuichirou Matsuda,0,Japan,empty
jyn-higuti,Jyn Higuti,0,Japan,empty
masakuni-hamaguchi,Masakuni Hamaguchi,0,Japan,empty
shin-ya-katou,Shin'ya Katou,0,Japan,empty
kenji-tamura,Kenji Tamura,0,Japan,empty
syouya-katou,Syouya Katou,0,Japan,empty
hidenobu-yoshikawa,Hidenobu Yoshikawa,0,Japan,empty
shinya-yamamoto,Shinya Yamamoto,0,Japan,empty
reo-nagano,Reo Nagano,0,Japan,empty
naoya-matsumoto,Naoya Matsumoto,0,Japan,empty
tadashi-terada,Tadashi Terada,0,Japan,empty
tadahiko-ueda,Tadahiko Ueda,0,Japan,empty
masataka-kamei,Masataka Kamei,0,Japan,empty
jun-ichi-yabuta,Jun'ichi Yabuta,0,Japan,empty
toshihiro-sugihara,Toshihiro Sugihara,0,Japan,empty
kuangda-sun,Kuangda Sun,0,Japan,empty
shinri-tei,Shinri Tei,0,Japan,empty
ryota-nisi,Ryota Nisi,0,Japan,empty
