Id,name,money,nationality,teams
jose-neves,Jose Neves,0,empty,empty
seth-manfield,Seth Manfield,0,United States of America,"[{'season': 2016, 'team': 'Genesis'}, {'season': 2017, 'team': 'Genesis'}, {'season': 2018, 'team': 'KMC-Genesis'}]"
jacob-barnewitz,Jacob Barnewitz,0,empty,empty
kenta-harane,Kenta Harane,0,Japan,empty
riku-kumagai,Riku Kumagai,0,Japan,"[{'season': 2017, 'team': 'Kusemono'}]"
clement-lesaege,Clément Lesaege,0,France,empty
mizuki-fujiwara,Mizuki Fujiwara,0,Japan,empty
johann-wallner,Johann Wallner,0,Germany,empty
matteo-paradino,Matteo Paradino,0,empty,empty
steve-hoch,Steve Hoch,0,empty,empty
ryu-hieda,Ryu Hieda,0,Japan,empty
conor-hughes,Conor Hughes,0,Ireland,empty
michael-jacob,Michael Jacob,0,United States of America,empty
jonathan-guttman,Jonathan Guttman,0,Canada,empty
isaac-smith,Isaac Smith,0,empty,empty
yu-tanaka,Yu Tanaka,0,Japan,empty
campbell-youngblood-petersen,Campbell Youngblood-Petersen,0,United States of America,empty
nathan-steuer,Nathan Steuer,0,United States of America,empty
silvia-cavadas,Sílvia Cavadas,0,empty,empty
yoshihiko-ikawa,Yoshihiko Ikawa,0,Japan,empty
shin-ya-saito,Shin'ya Saito,0,Japan,empty
bassel-nasri,Bassel Nasri,0,United States of America,empty
marcus-wosner,Marcus Wosner,0,Austria,empty
michal-guldan,Michal Guldan,0,Slovakia,empty
brian-heine,Brian Heine,0,United States of America,empty
michael-meier,Michael Meier,0,Switzerland,empty
taylor-cobb,Taylor Cobb,0,United States of America,empty
tyler-hatchel,Tyler Hatchel,0,United States of America,empty
mikolaj-drzewiecki,Mikołaj Drzewiecki,0,empty,empty
takahiro-nagami,Takahiro Nagami,0,empty,empty
gage-fevold,Gage Fevold,0,empty,empty
dominik-konieczny,Dominik Konieczny,0,Poland,empty
hannes-brandstetter,Hannes Brandstetter,0,Austria,empty
satoshi-nakayama,Satoshi Nakayama,0,empty,empty
erik-van-de-kamp,Erik van de Kamp,0,empty,empty
thierry-ramboa,Thierry Ramboa,0,France,empty
masakatsu-iida,Masakatsu Iida,0,empty,empty
