Source,Target,relation,money,team
holt-hauser,nationals-scotland-2018,TopFinish,0,
stephen-murray,nationals-scotland-2018,TopFinish,0,
sean-ferguson,nationals-scotland-2018,TopFinish,0,
james-love,nationals-scotland-2018,TopFinish,0,
james-winward-stuart,nationals-scotland-2018,TopFinish,0,
gerard-boyd,nationals-scotland-2018,TopFinish,0,
bradley-barclay,nationals-scotland-2018,TopFinish,0,
aaron-brown,nationals-scotland-2018,TopFinish,0,
teerawish-kotesiri,nationals-thailand-2018,TopFinish,0,
aekarash-sorakup,nationals-thailand-2018,TopFinish,0,
thumrongsak-teerawattanapong,nationals-thailand-2018,TopFinish,0,
thirawat-chaovarindr,nationals-thailand-2018,TopFinish,0,
suradate-boonyapongnugoon,nationals-thailand-2018,TopFinish,0,
pakkapong-viraseranee,nationals-thailand-2018,TopFinish,0,
pattana-chalermtanasak,nationals-thailand-2018,TopFinish,0,
marupong-chantarat,nationals-thailand-2018,TopFinish,0,
sam-luca-rolph,nationals-wales-2018,TopFinish,0,
ryan-davies,nationals-wales-2018,TopFinish,0,
james-morgan-foley,nationals-wales-2018,TopFinish,0,
morgan-payne,nationals-wales-2018,TopFinish,0,
aaron-boyhan,nationals-wales-2018,TopFinish,0,
peter-bannister,nationals-wales-2018,TopFinish,0,
liam-phillips,nationals-wales-2018,TopFinish,0,
alun-evans,nationals-wales-2018,TopFinish,0,
jose-luis-echeverria-paredes,grand-prix-sao-paulo-2018,TopFinish,10000,
leonardo-giucci,grand-prix-sao-paulo-2018,TopFinish,5000,
sebastian-pozzo,grand-prix-sao-paulo-2018,TopFinish,2500,
thiago-casassanta,grand-prix-sao-paulo-2018,TopFinish,2500,
vinicius-karam,grand-prix-sao-paulo-2018,TopFinish,1500,
daniel-caixeta,grand-prix-sao-paulo-2018,TopFinish,1500,
breno-magalhaes,grand-prix-sao-paulo-2018,TopFinish,1500,
fernando-david-gonzalez,grand-prix-sao-paulo-2018,TopFinish,1500,
matti-kuisma,grand-prix-barcelona-2018,TopFinish,10000,
louis-deltour,grand-prix-barcelona-2018,TopFinish,5000,
javier-dominguez,grand-prix-barcelona-2018,TopFinish,2500,
maxence-duroy,grand-prix-barcelona-2018,TopFinish,2500,
nick-waugh,grand-prix-barcelona-2018,TopFinish,1500,
daniel-ballestin,grand-prix-barcelona-2018,TopFinish,1500,
pierre-dagen,grand-prix-barcelona-2018,TopFinish,1500,
laszlo-poroszkai,grand-prix-barcelona-2018,TopFinish,1500,
miroslav-slavov,nationals-bulgaria-2018,TopFinish,0,
hristiyan-ivanov,nationals-bulgaria-2018,TopFinish,0,
emil-kalaydzhiev,nationals-bulgaria-2018,TopFinish,0,
svetoslav-ivanov,nationals-bulgaria-2018,TopFinish,0,
momchil-stefanov,nationals-bulgaria-2018,TopFinish,0,
lenard-hristov,nationals-bulgaria-2018,TopFinish,0,
nikola-rashkov,nationals-bulgaria-2018,TopFinish,0,
georgi-stamboliev,nationals-bulgaria-2018,TopFinish,0,
micah-hewer,nationals-canada-2018,TopFinish,0,
adam-ragsdale,nationals-canada-2018,TopFinish,0,
edgar-magalhaes,nationals-canada-2018,TopFinish,0,
randall-barber,nationals-canada-2018,TopFinish,0,
robert-anderson,nationals-canada-2018,TopFinish,0,
alex-boyd,nationals-canada-2018,TopFinish,0,
daniel-he,nationals-canada-2018,TopFinish,0,
mathew-stein,nationals-canada-2018,TopFinish,0,
jun-rong-feng,nationals-costa-rica-2018,TopFinish,0,
rodolfo-nunez,nationals-costa-rica-2018,TopFinish,0,
jorge-villalobos,nationals-costa-rica-2018,TopFinish,0,
alan-rois,nationals-costa-rica-2018,TopFinish,0,
marco-brenes,nationals-costa-rica-2018,TopFinish,0,
geovanny-martinez,nationals-costa-rica-2018,TopFinish,0,
jose-roberto-rojas-salas,nationals-costa-rica-2018,TopFinish,0,
oscar-madrigal,nationals-costa-rica-2018,TopFinish,0,
claudio-trucido,nationals-ecuador-2018,TopFinish,0,
juan-rizzo,nationals-ecuador-2018,TopFinish,0,
daniel-verdesoto,nationals-ecuador-2018,TopFinish,0,
david-mccoy,nationals-ecuador-2018,TopFinish,0,
paul-nonoa,nationals-ecuador-2018,TopFinish,0,
walter-cordova,nationals-ecuador-2018,TopFinish,0,
emilio-gaete,nationals-ecuador-2018,TopFinish,0,
sabrina-hochman,nationals-ecuador-2018,TopFinish,0,
chin-heng-tan,nationals-singapore-2018,TopFinish,0,
chong-teng-kong,nationals-singapore-2018,TopFinish,0,
albertus-law,nationals-singapore-2018,TopFinish,0,
denny-dunsford,nationals-singapore-2018,TopFinish,0,
weng-heng-soh,nationals-singapore-2018,TopFinish,0,
jason-loh,nationals-singapore-2018,TopFinish,0,
jonathan-yow,nationals-singapore-2018,TopFinish,0,
nicholas-koh,nationals-singapore-2018,TopFinish,0,
dylan-brown,nationals-united-states-2018,TopFinish,0,
justin-andrus,nationals-united-states-2018,TopFinish,0,
kevin-jones,nationals-united-states-2018,TopFinish,0,
matthew-nickolai,nationals-united-states-2018,TopFinish,0,
christoffer-andersen,nationals-united-states-2018,TopFinish,0,
joseph-bernal,nationals-united-states-2018,TopFinish,0,
owen-turtenwald,nationals-united-states-2018,TopFinish,0,
brent-clawson,nationals-united-states-2018,TopFinish,0,
braham-thomas,grand-prix-pittsburgh-2018,TopFinish,10000,
oliver-tiu,grand-prix-pittsburgh-2018,TopFinish,5000,
morgan-mclaughlin,grand-prix-pittsburgh-2018,TopFinish,2500,
jack-kiefer,grand-prix-pittsburgh-2018,TopFinish,2500,
scott-matthews,grand-prix-pittsburgh-2018,TopFinish,1500,
zach-allen,grand-prix-pittsburgh-2018,TopFinish,1500,
mike-sigrist,grand-prix-pittsburgh-2018,TopFinish,1500,
paul-dean,grand-prix-pittsburgh-2018,TopFinish,1500,
yuuki-ichikawa,grand-prix-singapore-2018,TopFinish,10000,
tatsuhiko-ohki,grand-prix-singapore-2018,TopFinish,5000,
grzegorz-kowalski,grand-prix-singapore-2018,TopFinish,2500,
andy-chan,grand-prix-singapore-2018,TopFinish,2500,
ryoichi-tamada,grand-prix-singapore-2018,TopFinish,1500,
rei-sato,grand-prix-singapore-2018,TopFinish,1500,
ryou-okamoto,grand-prix-singapore-2018,TopFinish,1500,
jingyang-li,grand-prix-singapore-2018,TopFinish,1500,
michael-bernat,grand-prix-las-vegas-limited-2018,TopFinish,10000,
austin-mowrey,grand-prix-las-vegas-limited-2018,TopFinish,5000,
mark-jacobson,grand-prix-las-vegas-limited-2018,TopFinish,2500,
andrew-cuneo,grand-prix-las-vegas-limited-2018,TopFinish,2500,
steven-rubin,grand-prix-las-vegas-limited-2018,TopFinish,1500,
adam-h-fox,grand-prix-las-vegas-limited-2018,TopFinish,1500,
trevor-gower,grand-prix-las-vegas-limited-2018,TopFinish,1500,
jose-daniel-garcia-rosas,grand-prix-las-vegas-limited-2018,TopFinish,1500,
matthew-nass,grand-prix-las-vegas-modern-2018,TopFinish,10000,
yuri-ramsey,grand-prix-las-vegas-modern-2018,TopFinish,5000,
martin-juza,grand-prix-las-vegas-modern-2018,TopFinish,2500,
benjamin-friedman,grand-prix-las-vegas-modern-2018,TopFinish,2500,
luke-renaud,grand-prix-las-vegas-modern-2018,TopFinish,1500,
eli-kassis,grand-prix-las-vegas-modern-2018,TopFinish,1500,
maxwell-mick,grand-prix-las-vegas-modern-2018,TopFinish,1500,
patrick-tierney,grand-prix-las-vegas-modern-2018,TopFinish,1500,
tobias-maurer,grand-prix-copenhagen-2018,TopFinish,10000,
francisco-sanchez,grand-prix-copenhagen-2018,TopFinish,5000,
tim-kernke,grand-prix-copenhagen-2018,TopFinish,2500,
javier-dominguez,grand-prix-copenhagen-2018,TopFinish,2500,
joakim-stahle-nilsson,grand-prix-copenhagen-2018,TopFinish,1500,
lukas-blohon,grand-prix-copenhagen-2018,TopFinish,1500,
christian-ahlstrom,grand-prix-copenhagen-2018,TopFinish,1500,
martin-dang,grand-prix-copenhagen-2018,TopFinish,1500,
wyatt-darby,pro-tour-dominaria-2018,TopFinish,50000,
goncalo-pinto,pro-tour-dominaria-2018,TopFinish,20000,
owen-turtenwald,pro-tour-dominaria-2018,TopFinish,15000,
marcio-carvalho,pro-tour-dominaria-2018,TopFinish,12500,
kazuyuki-takimura,pro-tour-dominaria-2018,TopFinish,10000,
thomas-hendriks,pro-tour-dominaria-2018,TopFinish,9000,
ernest-lim,pro-tour-dominaria-2018,TopFinish,7500,
manuel-lenz,pro-tour-dominaria-2018,TopFinish,6000,
andrew-tenjum,grand-prix-washington-d-c-2018,TopFinish,5000,
petr-sochurek,grand-prix-washington-d-c-2018,TopFinish,5000,
peter-ingram,grand-prix-washington-d-c-2018,TopFinish,5000,
paulo-vitor-damo-da-rosa,grand-prix-washington-d-c-2018,TopFinish,2500,
eric-froehlich,grand-prix-washington-d-c-2018,TopFinish,2500,
ben-stark,grand-prix-washington-d-c-2018,TopFinish,2500,
oliver-tiu,grand-prix-washington-d-c-2018,TopFinish,1250,
shahar-shenhar,grand-prix-washington-d-c-2018,TopFinish,1250,
ondrej-strasky,grand-prix-washington-d-c-2018,TopFinish,1250,
brad-nelson,grand-prix-washington-d-c-2018,TopFinish,1250,
brian-braun-duin,grand-prix-washington-d-c-2018,TopFinish,1250,
martin-muller,grand-prix-washington-d-c-2018,TopFinish,1250,
morgan-mclaughlin,grand-prix-toronto-teams-2018,TopFinish,5000,
chris-harabas,grand-prix-toronto-teams-2018,TopFinish,5000,
lucas-siow,grand-prix-toronto-teams-2018,TopFinish,5000,
brad-nelson,grand-prix-toronto-teams-2018,TopFinish,2500,
seth-manfield,grand-prix-toronto-teams-2018,TopFinish,2500,
brian-braun-duin,grand-prix-toronto-teams-2018,TopFinish,2500,
jennifer-crotts,grand-prix-toronto-teams-2018,TopFinish,1250,
tyler-blum,grand-prix-toronto-teams-2018,TopFinish,1250,
robert-smith,grand-prix-toronto-teams-2018,TopFinish,1250,
oliver-tiu,grand-prix-toronto-teams-2018,TopFinish,1250,
oliver-tomajko,grand-prix-toronto-teams-2018,TopFinish,1250,
noah-walker,grand-prix-toronto-teams-2018,TopFinish,1250,
simon-nielsen,grand-prix-birmingham-standard-2018,TopFinish,10000,
leo-lahonen,grand-prix-birmingham-standard-2018,TopFinish,5000,
matt-brown,grand-prix-birmingham-standard-2018,TopFinish,2500,
martin-juza,grand-prix-birmingham-standard-2018,TopFinish,2500,
etienne-busson,grand-prix-birmingham-standard-2018,TopFinish,1500,
goncalo-pinto,grand-prix-birmingham-standard-2018,TopFinish,1500,
luke-southworth,grand-prix-birmingham-standard-2018,TopFinish,1500,
rasmus-nilsson,grand-prix-birmingham-standard-2018,TopFinish,1500,
gary-campbell,grand-prix-birmingham-legacy-2018,TopFinish,10000,
grzegorz-kowalski,grand-prix-birmingham-legacy-2018,TopFinish,5000,
peter-van-der-ham,grand-prix-birmingham-legacy-2018,TopFinish,2500,
johan-de-gruyter,grand-prix-birmingham-legacy-2018,TopFinish,2500,
alexander-mertins,grand-prix-birmingham-legacy-2018,TopFinish,1500,
janus-skovby-andersen,grand-prix-birmingham-legacy-2018,TopFinish,1500,
bernardo-santos,grand-prix-birmingham-legacy-2018,TopFinish,1500,
yuta-takahashi,grand-prix-birmingham-legacy-2018,TopFinish,1500,
alfonso-zarzoso,eternal-championships-vintage-europe-2018,TopFinish,0,
jose-anto-alascio-lopez,eternal-championships-vintage-europe-2018,TopFinish,0,
henrik-storm,eternal-championships-vintage-europe-2018,TopFinish,0,
axel-cobb,eternal-championships-vintage-europe-2018,TopFinish,0,
riccardo-nieto,eternal-championships-vintage-europe-2018,TopFinish,0,
adria-romte-vilardell,eternal-championships-vintage-europe-2018,TopFinish,0,
giani-francesco,eternal-championships-vintage-europe-2018,TopFinish,0,
raffaele-ramagli,eternal-championships-vintage-europe-2018,TopFinish,0,
vladimir-arneuve,eternal-championships-legacy-europe-2018,TopFinish,0,
simon-depraz,eternal-championships-legacy-europe-2018,TopFinish,0,
guillem-salvador-arnal,eternal-championships-legacy-europe-2018,TopFinish,0,
paul-ridoux,eternal-championships-legacy-europe-2018,TopFinish,0,
antoine-dubois,eternal-championships-legacy-europe-2018,TopFinish,0,
julien-drouard,eternal-championships-legacy-europe-2018,TopFinish,0,
cyril-pitalot,eternal-championships-legacy-europe-2018,TopFinish,0,
adrien-demoget,eternal-championships-legacy-europe-2018,TopFinish,0,
zhang-zhiyang,grand-prix-beijing-2018,TopFinish,10000,
ken-yukuhiro,grand-prix-beijing-2018,TopFinish,5000,
ryosuke-urase,grand-prix-beijing-2018,TopFinish,2500,
yuki-matsumoto,grand-prix-beijing-2018,TopFinish,2500,
souta-katakawa,grand-prix-beijing-2018,TopFinish,1500,
rei-sato,grand-prix-beijing-2018,TopFinish,1500,
yimin-zhi,grand-prix-beijing-2018,TopFinish,1500,
mao-dun,grand-prix-beijing-2018,TopFinish,1500,
robert-brown,grand-prix-dallas-fort-worth-2018,TopFinish,10000,
william-craddock,grand-prix-dallas-fort-worth-2018,TopFinish,5000,
aaron-rubin,grand-prix-dallas-fort-worth-2018,TopFinish,2500,
vikram-kudva,grand-prix-dallas-fort-worth-2018,TopFinish,2500,
matt-stankey,grand-prix-dallas-fort-worth-2018,TopFinish,1500,
andrew-elenbogen,grand-prix-dallas-fort-worth-2018,TopFinish,1500,
jose-daniel-garcia-rosas,grand-prix-dallas-fort-worth-2018,TopFinish,1500,
william-hahn,grand-prix-dallas-fort-worth-2018,TopFinish,1500,
antonio-pinto,grand-prix-bologna-2018,TopFinish,5000,
davide-miani,grand-prix-bologna-2018,TopFinish,5000,
usama-sajjad,grand-prix-bologna-2018,TopFinish,5000,
matthew-foulkes,grand-prix-bologna-2018,TopFinish,2500,
fabrizio-anteri,grand-prix-bologna-2018,TopFinish,2500,
peter-ward,grand-prix-bologna-2018,TopFinish,2500,
joonas-eloranta,grand-prix-bologna-2018,TopFinish,1250,
jori-hukka,grand-prix-bologna-2018,TopFinish,1250,
matti-kuisma,grand-prix-bologna-2018,TopFinish,1250,
andrej-rutar,grand-prix-bologna-2018,TopFinish,1250,
robin-dolar,grand-prix-bologna-2018,TopFinish,1250,
davor-detecnik,grand-prix-bologna-2018,TopFinish,1250,
david-goldfarb,grand-prix-columbus-2018,TopFinish,5000,
edgar-magalhaes,grand-prix-columbus-2018,TopFinish,5000,
jacob-baugh,grand-prix-columbus-2018,TopFinish,5000,
jeremy-lavrenz,grand-prix-columbus-2018,TopFinish,2500,
james-lavrenz,grand-prix-columbus-2018,TopFinish,2500,
jake-lamb,grand-prix-columbus-2018,TopFinish,2500,
kellen-pastore,grand-prix-columbus-2018,TopFinish,1250,
steve-noga,grand-prix-columbus-2018,TopFinish,1250,
daniel-barkon,grand-prix-columbus-2018,TopFinish,1250,
samuel-black,grand-prix-columbus-2018,TopFinish,1250,
matthew-severa,grand-prix-columbus-2018,TopFinish,1250,
andrew-baeckstrom,grand-prix-columbus-2018,TopFinish,1250,
matthew-nass,grand-prix-hartford-2018,TopFinish,10000,
michael-mapson,grand-prix-hartford-2018,TopFinish,5000,
kellen-pastore,grand-prix-hartford-2018,TopFinish,2500,
gene-friedman,grand-prix-hartford-2018,TopFinish,2500,
matt-grahn,grand-prix-hartford-2018,TopFinish,1500,
frank-skarren,grand-prix-hartford-2018,TopFinish,1500,
johnathan-sharp,grand-prix-hartford-2018,TopFinish,1500,
max-mcvety,grand-prix-hartford-2018,TopFinish,1500,
jessica-estephan,grand-prix-sydney-2018,TopFinish,5000,
ryan-lewis-jonns,grand-prix-sydney-2018,TopFinish,5000,
lachlan-saunders,grand-prix-sydney-2018,TopFinish,5000,
james-o-rourke,grand-prix-sydney-2018,TopFinish,2500,
jacob-golding,grand-prix-sydney-2018,TopFinish,2500,
aidan-frisch,grand-prix-sydney-2018,TopFinish,2500,
jonathan-venturi,grand-prix-sydney-2018,TopFinish,1250,
ho-lun-yau,grand-prix-sydney-2018,TopFinish,1250,
mathieu-beaujard,grand-prix-sydney-2018,TopFinish,1250,
dirk-crasto,grand-prix-sydney-2018,TopFinish,1250,
matthew-rogers,grand-prix-sydney-2018,TopFinish,1250,
nicholas-barlow,grand-prix-sydney-2018,TopFinish,1250,
gan-yan,grand-prix-seattle-standard-2018,TopFinish,10000,
grayson-roberts,grand-prix-seattle-standard-2018,TopFinish,5000,
jeremy-frye,grand-prix-seattle-standard-2018,TopFinish,2500,
gerry-thompson,grand-prix-seattle-standard-2018,TopFinish,2500,
charles-wong,grand-prix-seattle-standard-2018,TopFinish,1500,
slater-claudel,grand-prix-seattle-standard-2018,TopFinish,1500,
matthew-dimaggio,grand-prix-seattle-standard-2018,TopFinish,1500,
andrew-shain,grand-prix-seattle-standard-2018,TopFinish,1500,
daniel-duterte,grand-prix-seattle-legacy-2018,TopFinish,10000,
jeremy-dezani,grand-prix-seattle-legacy-2018,TopFinish,5000,
samuel-black,grand-prix-seattle-legacy-2018,TopFinish,2500,
keaton-wood,grand-prix-seattle-legacy-2018,TopFinish,2500,
noah-walker,grand-prix-seattle-legacy-2018,TopFinish,1500,
steven-rubin,grand-prix-seattle-legacy-2018,TopFinish,1500,
luke-purcell,grand-prix-seattle-legacy-2018,TopFinish,1500,
miranda-keith,grand-prix-seattle-legacy-2018,TopFinish,1500,
jeroen-kreijne,grand-prix-amsterdam-2018,TopFinish,5000,
simon-geurts,grand-prix-amsterdam-2018,TopFinish,5000,
pim-heijne,grand-prix-amsterdam-2018,TopFinish,5000,
geoffrey-siron,grand-prix-amsterdam-2018,TopFinish,2500,
vincent-lemoine,grand-prix-amsterdam-2018,TopFinish,2500,
davy-loeb,grand-prix-amsterdam-2018,TopFinish,2500,
guido-sondag,grand-prix-amsterdam-2018,TopFinish,1250,
alexander-ball,grand-prix-amsterdam-2018,TopFinish,1250,
gervaise-pechler,grand-prix-amsterdam-2018,TopFinish,1250,
arne-huschenbeth,grand-prix-amsterdam-2018,TopFinish,1250,
thoralf-severin,grand-prix-amsterdam-2018,TopFinish,1250,
jasper-grimmer,grand-prix-amsterdam-2018,TopFinish,1250,
ryoichi-yamamoto,grand-prix-kyoto-2018,TopFinish,5000,
yusuke-matsubara,grand-prix-kyoto-2018,TopFinish,5000,
kazuki-takamura,grand-prix-kyoto-2018,TopFinish,5000,
yuki-yotsumoto,grand-prix-kyoto-2018,TopFinish,2500,
ryouta-endou,grand-prix-kyoto-2018,TopFinish,2500,
koji-takeishi,grand-prix-kyoto-2018,TopFinish,2500,
kentaro-ichihara,grand-prix-kyoto-2018,TopFinish,1250,
takahiro-uemoto,grand-prix-kyoto-2018,TopFinish,1250,
masataka-shibata,grand-prix-kyoto-2018,TopFinish,1250,
kensuke-kato,grand-prix-kyoto-2018,TopFinish,1250,
akira-tanaka,grand-prix-kyoto-2018,TopFinish,1250,
fumiyasu-suzuike,grand-prix-kyoto-2018,TopFinish,1250,
steve-locke,grand-prix-phoenix-2018,TopFinish,10000,
pierson-laughlin,grand-prix-phoenix-2018,TopFinish,5000,
matthew-nass,grand-prix-phoenix-2018,TopFinish,2500,
vikram-kudva,grand-prix-phoenix-2018,TopFinish,2500,
sung-jin-ahn,grand-prix-phoenix-2018,TopFinish,1500,
tate-donovan,grand-prix-phoenix-2018,TopFinish,1500,
alexander-corwith,grand-prix-phoenix-2018,TopFinish,1500,
michael-hughes,grand-prix-phoenix-2018,TopFinish,1500,
charles-eliatamby,grand-prix-madrid-2018,TopFinish,5000,
christoph-green,grand-prix-madrid-2018,TopFinish,5000,
ben-jones,grand-prix-madrid-2018,TopFinish,5000,
thomas-enevoldsen,grand-prix-madrid-2018,TopFinish,2500,
michael-bonde,grand-prix-madrid-2018,TopFinish,2500,
andreas-petersen,grand-prix-madrid-2018,TopFinish,2500,
per-nystrom,grand-prix-madrid-2018,TopFinish,1250,
elias-watsfeldt,grand-prix-madrid-2018,TopFinish,1250,
joel-larsson,grand-prix-madrid-2018,TopFinish,1250,
alessandro-lippi,grand-prix-madrid-2018,TopFinish,1250,
adriano-moscato,grand-prix-madrid-2018,TopFinish,1250,
carmine-d-aniello,grand-prix-madrid-2018,TopFinish,1250,
lucas-esper-berthoud,grand-prix-santiago-2018,TopFinish,5000,
sebastian-pozzo,grand-prix-santiago-2018,TopFinish,5000,
luis-salvatto,grand-prix-santiago-2018,TopFinish,5000,
thiago-saporito,grand-prix-santiago-2018,TopFinish,2500,
willy-edel,grand-prix-santiago-2018,TopFinish,2500,
juliano-gennari-souza,grand-prix-santiago-2018,TopFinish,2500,
paulo-vitor-damo-da-rosa,grand-prix-santiago-2018,TopFinish,1250,
guilherme-merjam,grand-prix-santiago-2018,TopFinish,1250,
carlos-romao,grand-prix-santiago-2018,TopFinish,1250,
alejandro-van-mourik,grand-prix-santiago-2018,TopFinish,1250,
diego-roca-suarez,grand-prix-santiago-2018,TopFinish,1250,
marco-vargas,grand-prix-santiago-2018,TopFinish,1250,
dmitriy-butakov,magic-online-championship-2017,TopFinish,40000,
steven-rubin,magic-online-championship-2017,TopFinish,20000,
niklas-dahlquist,magic-online-championship-2017,TopFinish,10000,
lars-dam,magic-online-championship-2017,TopFinish,10000,
tyler-schroeder,grand-prix-memphis-2018,TopFinish,10000,
aaron-barich,grand-prix-memphis-2018,TopFinish,5000,
matthew-kling,grand-prix-memphis-2018,TopFinish,2500,
michael-cochran,grand-prix-memphis-2018,TopFinish,2500,
blake-miller,grand-prix-memphis-2018,TopFinish,1500,
andrew-tenjum,grand-prix-memphis-2018,TopFinish,1500,
heath-vance,grand-prix-memphis-2018,TopFinish,1500,
eric-froehlich,grand-prix-memphis-2018,TopFinish,1500,
grzegorz-kowalski,grand-prix-lyon-2018,TopFinish,10000,
marcio-carvalho,grand-prix-lyon-2018,TopFinish,5000,
joshua-bausch,grand-prix-lyon-2018,TopFinish,2500,
julien-stihle,grand-prix-lyon-2018,TopFinish,2500,
davide-cappiello,grand-prix-lyon-2018,TopFinish,1500,
david-juric,grand-prix-lyon-2018,TopFinish,1500,
marco-de-togni,grand-prix-lyon-2018,TopFinish,1500,
matic-penko,grand-prix-lyon-2018,TopFinish,1500,
daniel-ward,grand-prix-toronto-modern-2018,TopFinish,10000,
jon-stern,grand-prix-toronto-modern-2018,TopFinish,5000,
luke-purcell,grand-prix-toronto-modern-2018,TopFinish,2500,
jonathan-zhang,grand-prix-toronto-modern-2018,TopFinish,2500,
bertrand-joseph-pare,grand-prix-toronto-modern-2018,TopFinish,1500,
alessandro-pogorzhelsky,grand-prix-toronto-modern-2018,TopFinish,1500,
benjamin-ragan,grand-prix-toronto-modern-2018,TopFinish,1500,
chris-dockrill,grand-prix-toronto-modern-2018,TopFinish,1500,
luis-salvatto,pro-tour-rivals-of-ixalan-2018,TopFinish,50000,
gerry-thompson,pro-tour-rivals-of-ixalan-2018,TopFinish,20000,
pascal-vieren,pro-tour-rivals-of-ixalan-2018,TopFinish,15000,
ken-yukuhiro,pro-tour-rivals-of-ixalan-2018,TopFinish,12500,
javier-dominguez,pro-tour-rivals-of-ixalan-2018,TopFinish,10000,
reid-duke,pro-tour-rivals-of-ixalan-2018,TopFinish,9000,
jean-emmanuel-depraz,pro-tour-rivals-of-ixalan-2018,TopFinish,7500,
andrea-mengucci,pro-tour-rivals-of-ixalan-2018,TopFinish,6000,
axel-martinez,grand-prix-houston-2018,TopFinish,10000,
joe-demestrio,grand-prix-houston-2018,TopFinish,5000,
bradley-yoo,grand-prix-houston-2018,TopFinish,2500,
randy-perez,grand-prix-houston-2018,TopFinish,2500,
robert-swarowski,grand-prix-houston-2018,TopFinish,1500,
brian-yin,grand-prix-houston-2018,TopFinish,1500,
ben-yu,grand-prix-houston-2018,TopFinish,1500,
phimus-pan,grand-prix-houston-2018,TopFinish,1500,
marcelino-freeman,grand-prix-london-2018,TopFinish,10000,
steven-rubin,grand-prix-london-2018,TopFinish,5000,
seth-manfield,grand-prix-london-2018,TopFinish,2500,
alexander-kreuz,grand-prix-london-2018,TopFinish,2500,
brad-nelson,grand-prix-london-2018,TopFinish,1500,
alexander-hulten,grand-prix-london-2018,TopFinish,1500,
mark-jacobson,grand-prix-london-2018,TopFinish,1500,
eduardo-sajgalik,grand-prix-london-2018,TopFinish,1500,
xinyu-fei,grand-prix-indianapolis-2018,TopFinish,5000,
chih-cheng-yeh,grand-prix-indianapolis-2018,TopFinish,5000,
zirui-zhou,grand-prix-indianapolis-2018,TopFinish,5000,
paulo-vitor-damo-da-rosa,grand-prix-indianapolis-2018,TopFinish,2500,
eric-froehlich,grand-prix-indianapolis-2018,TopFinish,2500,
ben-stark,grand-prix-indianapolis-2018,TopFinish,2500,
eric-severson,grand-prix-indianapolis-2018,TopFinish,1250,
benjamin-weitz,grand-prix-indianapolis-2018,TopFinish,1250,
neal-oliver,grand-prix-indianapolis-2018,TopFinish,1250,
shahar-shenhar,grand-prix-indianapolis-2018,TopFinish,1250,
lance-austin,grand-prix-indianapolis-2018,TopFinish,1250,
oliver-tiu,grand-prix-indianapolis-2018,TopFinish,1250,
william-ho,grand-prix-santa-clara-2018,TopFinish,5000,
john-martin,grand-prix-santa-clara-2018,TopFinish,5000,
jeremy-frye,grand-prix-santa-clara-2018,TopFinish,5000,
logan-nettles,grand-prix-santa-clara-2018,TopFinish,2500,
vidianto-wijaya,grand-prix-santa-clara-2018,TopFinish,2500,
jonathan-anghelescu,grand-prix-santa-clara-2018,TopFinish,2500,
isaac-sears,grand-prix-santa-clara-2018,TopFinish,1250,
galan-falakfarsa,grand-prix-santa-clara-2018,TopFinish,1250,
daniel-mabee,grand-prix-santa-clara-2018,TopFinish,1250,
joe-demestrio,grand-prix-santa-clara-2018,TopFinish,1250,
nathan-holiday,grand-prix-santa-clara-2018,TopFinish,1250,
ricky-sidher,grand-prix-santa-clara-2018,TopFinish,1250,
kale-thompson,grand-prix-new-jersey-limited-2017,TopFinish,10000,
seth-manfield,grand-prix-new-jersey-limited-2017,TopFinish,5000,
gerard-fabiano,grand-prix-new-jersey-limited-2017,TopFinish,2500,
mike-sigrist,grand-prix-new-jersey-limited-2017,TopFinish,2500,
daniel-weiser,grand-prix-new-jersey-limited-2017,TopFinish,1500,
valentin-mackl,grand-prix-new-jersey-limited-2017,TopFinish,1500,
nicholas-mohammed,grand-prix-new-jersey-limited-2017,TopFinish,1500,
joshua-taylor,grand-prix-new-jersey-limited-2017,TopFinish,1500,
zhong-yi-lim,grand-prix-singapore-2017,TopFinish,10000,
minxing-pan,grand-prix-singapore-2017,TopFinish,5000,
tomoharu-saito,grand-prix-singapore-2017,TopFinish,2500,
rong-gu,grand-prix-singapore-2017,TopFinish,2500,
wing-chun-yam,grand-prix-singapore-2017,TopFinish,1500,
kenta-harane,grand-prix-singapore-2017,TopFinish,1500,
shuhei-nakamura,grand-prix-singapore-2017,TopFinish,1500,
jefferson-lee,grand-prix-singapore-2017,TopFinish,1500,
adrian-ramiro-cano,grand-prix-madrid-2017,TopFinish,5000,
rodrigo-togores,grand-prix-madrid-2017,TopFinish,5000,
cristian-ortiz-ros,grand-prix-madrid-2017,TopFinish,5000,
pedro-de-diego,grand-prix-madrid-2017,TopFinish,2500,
francisco-sifuentes,grand-prix-madrid-2017,TopFinish,2500,
luis-salvatto,grand-prix-madrid-2017,TopFinish,2500,
wouter-biesmans,grand-prix-madrid-2017,TopFinish,1250,
luca-van-deun,grand-prix-madrid-2017,TopFinish,1250,
kasper-brans,grand-prix-madrid-2017,TopFinish,1250,
marius-heuser,grand-prix-madrid-2017,TopFinish,1250,
xiaoliang-yang,grand-prix-madrid-2017,TopFinish,1250,
christian-hauck,grand-prix-madrid-2017,TopFinish,1250,
larry-li,grand-prix-oklahoma-city-2017,TopFinish,10000,
adam-pannone,grand-prix-oklahoma-city-2017,TopFinish,5000,
nathaniel-smith,grand-prix-oklahoma-city-2017,TopFinish,2500,
