Source,Target,relation,money,team
fernando-palmero-garcia,regional-championship-prague-2025,TopFinish,12000,
bora-sarioglu,regional-championship-prague-2025,TopFinish,7500,
goncalo-braganca,regional-championship-prague-2025,TopFinish,7500,
lorenzo-pollone,regional-championship-prague-2025,TopFinish,5000,
theodor-cummings-eliassen,regional-championship-prague-2025,TopFinish,5000,
callum-laird,regional-championship-prague-2025,TopFinish,5000,
wouter-noordzij,regional-championship-prague-2025,TopFinish,5000,
pedro-perrini,regional-championship-sao-paulo-1-2025,TopFinish,5000,
gabriel-lopes,regional-championship-sao-paulo-1-2025,TopFinish,4000,
victor-santos-esquici,regional-championship-sao-paulo-1-2025,TopFinish,3000,
vinicius-karam,regional-championship-sao-paulo-1-2025,TopFinish,3000,
isael-feitosa,regional-championship-sao-paulo-1-2025,TopFinish,1000,
william-araujo,regional-championship-sao-paulo-1-2025,TopFinish,1000,
diego-eneas-garcia,regional-championship-sao-paulo-1-2025,TopFinish,1000,
luis-felippe-rossello-lima,regional-championship-sao-paulo-1-2025,TopFinish,1000,
nicholas-odenheimer,magic-spotlight-foundations-atlanta-2025,TopFinish,10000,
scott-mcnamara,magic-spotlight-foundations-atlanta-2025,TopFinish,5000,
gray-payne,magic-spotlight-foundations-atlanta-2025,TopFinish,2500,
rei-zhang,magic-spotlight-foundations-atlanta-2025,TopFinish,2500,
eli-swafford,magic-spotlight-foundations-atlanta-2025,TopFinish,1000,
zhao-li,magic-spotlight-foundations-atlanta-2025,TopFinish,1000,
victor-moy,magic-spotlight-foundations-atlanta-2025,TopFinish,1000,
steven-rorabaugh,magic-spotlight-foundations-atlanta-2025,TopFinish,1000,
keisuke-sato,arena-championship-7-2024,TopFinish,30000,
mikko-airaksinen,arena-championship-7-2024,TopFinish,20000,
kazuhiko-hasegawa,arena-championship-7-2024,TopFinish,15000,
leo-finnveden,arena-championship-7-2024,TopFinish,15000,
asdren-alexander-b-,arena-championship-7-2024,TopFinish,10000,
luke-deratzou,arena-championship-7-2024,TopFinish,10000,
marvin-chiong,arena-championship-7-2024,TopFinish,10000,
ioannis-tsetis,arena-championship-7-2024,TopFinish,10000,
johan-larsson,eternal-championships-legacy-europe-2024,TopFinish,0,
raphael-werder,eternal-championships-legacy-europe-2024,TopFinish,0,
edward-yueh,eternal-championships-legacy-europe-2024,TopFinish,0,
hanlin-x,eternal-championships-legacy-europe-2024,TopFinish,0,
michele-gasparini,eternal-championships-legacy-europe-2024,TopFinish,0,
jan-lenger,eternal-championships-legacy-europe-2024,TopFinish,0,
brian-coval,eternal-championships-legacy-europe-2024,TopFinish,0,
fabrizio-cenacchi,eternal-championships-legacy-europe-2024,TopFinish,0,
samuel-mistygatz,eternal-championships-vintage-europe-2024,TopFinish,0,
juan-eliso,eternal-championships-vintage-europe-2024,TopFinish,0,
thilo-schramm,eternal-championships-vintage-europe-2024,TopFinish,0,
brian-coval,eternal-championships-vintage-europe-2024,TopFinish,0,
oscar-basart,eternal-championships-vintage-europe-2024,TopFinish,0,
cheng-guo,eternal-championships-vintage-europe-2024,TopFinish,0,
javier-dominguez,eternal-championships-vintage-europe-2024,TopFinish,0,
stefan-schutz,eternal-championships-vintage-europe-2024,TopFinish,0,
joaquin-roberto-soto-castillo,regional-championship-mexico-city-3-2024,TopFinish,4000,
javier-castellan,regional-championship-mexico-city-3-2024,TopFinish,2000,
edgar-emmanuel-rangel-paez,regional-championship-mexico-city-3-2024,TopFinish,1000,
erick-manuel-lopez-basulto,regional-championship-mexico-city-3-2024,TopFinish,1000,
cristian-zuniga,regional-championship-mexico-city-3-2024,TopFinish,550,
jaime-andres-soriano-salazar,regional-championship-mexico-city-3-2024,TopFinish,550,
ricardo-mendoza,regional-championship-mexico-city-3-2024,TopFinish,550,
jesus-adan-calzada-tovar,regional-championship-mexico-city-3-2024,TopFinish,550,
kevin-wallace,eternal-championships-legacy-north-america-2024,TopFinish,10000,
bailey-sarkis,eternal-championships-legacy-north-america-2024,TopFinish,5000,
max-deresh,eternal-championships-legacy-north-america-2024,TopFinish,2500,
ari-lax,eternal-championships-legacy-north-america-2024,TopFinish,2500,
jon-barber,eternal-championships-legacy-north-america-2024,TopFinish,1000,
joshua-cronk,eternal-championships-legacy-north-america-2024,TopFinish,1000,
aj-franklin,eternal-championships-legacy-north-america-2024,TopFinish,1000,
dominic-vernazza,eternal-championships-legacy-north-america-2024,TopFinish,1000,
max-gilmore,eternal-championships-vintage-north-america-2024,TopFinish,5000,
chase-hoppe,eternal-championships-vintage-north-america-2024,TopFinish,2500,
davidlyver,eternal-championships-vintage-north-america-2024,TopFinish,1250,
david-tao,eternal-championships-vintage-north-america-2024,TopFinish,1250,
christopher-brill,eternal-championships-vintage-north-america-2024,TopFinish,600,
david-kaplan,eternal-championships-vintage-north-america-2024,TopFinish,600,
tyler-klein,eternal-championships-vintage-north-america-2024,TopFinish,600,
doug-miles,eternal-championships-vintage-north-america-2024,TopFinish,600,
randall-litman,regional-championship-calgary-2024,TopFinish,5000,
julian-david,regional-championship-calgary-2024,TopFinish,3000,
dustyn-nogueira,regional-championship-calgary-2024,TopFinish,2500,
simon-scrutton,regional-championship-calgary-2024,TopFinish,2500,
noah-mannholland,regional-championship-calgary-2024,TopFinish,1500,
christopher-leonard-huu-nguyen,regional-championship-calgary-2024,TopFinish,1500,
george-ren,regional-championship-calgary-2024,TopFinish,1500,
gareth-antle,regional-championship-calgary-2024,TopFinish,1500,
